Date,Predicted,HumidityMin,HumidityMax
31/05/2024,80,25,34
01/06/2024,76,25,34
02/06/2024,72,26,34
03/06/2024,70,26,34
04/06/2024,72,26,35
05/06/2024,73,25,34
06/06/2024,69,25,35
