name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hồ Chí Minh, Việt Nam",2022-01-01T00:00:00,25,25,17,61.16,0,0,,0,0,9.4,7.6,20,1015,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T01:00:00,24.1,24.1,17.2,65.45,0,0,,0,0,10.4,10.5,36,1014,50.9,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T02:00:00,24,24,17,64.93,0,0,,0,0,13.7,9.4,30,1013,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T03:00:00,23,23,17,68.97,0,0,,0,0,12.2,9.4,50,1013,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T04:00:00,23.1,23.1,17.3,69.88,0,0,,0,0,10.8,8.2,42,1013,88,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T05:00:00,23,23,17,68.97,0,0,,0,0,10.4,7.6,40,1013,88.8,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T06:00:00,23,23,18,73.46,0,0,,0,0,11.2,5.4,16.2,1013,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T07:00:00,23.9,23.9,18.1,70.09,0,0,,,0,,7.2,45,1014,29.2,10.9,0,0,0,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T08:00:00,26,26,18,61.39,0,0,,,0,14.8,7.6,60,1014,27,10,154.4,0.6,2,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T09:00:00,28,28.6,17,51.24,0,0,,,0,16.6,9.4,70,1014,27,10,296.1,1.1,3,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T10:00:00,28.9,29.5,17.3,49.29,0,0,,,0,16.9,3.9,90,1015,32.9,10.9,493.1,1.8,5,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T11:00:00,31,31.4,17,43.1,0,0,,,0,16.2,5.4,351.1,1014,27,10,643.3,2.3,6,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2022-01-01T12:00:00,31,31,16,40.45,0,0,,0,0,15.5,5.4,341.1,1013,27,10,796.2,2.9,8,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
