name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hồ Chí Minh, Việt Nam",2020-12-01T00:00:00,26,26,24.6,91.97,0.3,100,rain,0,0,6.8,2.9,44,1011,88.8,10,0,0,0,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T01:00:00,26,26,24.9,93.71,0,0,,0,0,6.1,2.6,51,1010.2,73.2,10.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T02:00:00,25.6,25.6,24.4,93.18,0.1,100,rain,0,0,7.6,4.1,306,1009,50,8,0,0,0,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T03:00:00,25,25,25,100,0,0,,0,0,8.6,3.6,300,1010,50,8,0,0,0,,Partially cloudy,partly-cloudy-night,VVTS
"Hồ Chí Minh, Việt Nam",2020-12-01T04:00:00,25.1,25.1,24.5,96.73,0,0,,0,0,9.4,3,334,1009.2,53.7,8.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T05:00:00,25,25,24,94.19,0,0,,0,0,10.1,5.9,360,1009,50,7,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T06:00:00,25,25,24,94.19,0.1,100,rain,0,0,8.3,4.3,40,1011,88.8,8,0,0,0,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T07:00:00,25.4,25.4,24,91.89,0,0,,,0,10.1,4.2,50,1011.2,89.9,9.1,26.3,0.1,0,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T08:00:00,26,26,23.4,85.65,0,0,,,0,13,5.4,2.8,1012,88.8,8,126.1,0.5,1,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T09:00:00,28,31.9,24,78.92,0,0,,,0,20.2,2.9,18.4,1012,88.8,8,344.1,1.2,3,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T10:00:00,29.3,33.5,23.4,70.49,0,0,,,0,40,7,124,1012.1,88.9,9.1,406.7,1.5,4,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T11:00:00,30.4,35.3,23.6,67,0,0,,,0,42.1,13.7,92,1011,88.8,8.8,464.1,1.7,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T12:00:00,30.6,35.3,23.4,65.56,0.1,100,rain,0,0,43.2,16.2,60,1010,88.8,10,488.1,1.8,5,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T13:00:00,30.9,35.9,23.6,65.01,0,0,,0,0,44.3,15.1,70,1009.2,88.9,10.9,500.3,1.8,5,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T14:00:00,31,35.5,23,62.5,0.1,100,rain,0,0,45,19.6,100,1008,88.8,10,494.3,1.8,5,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T15:00:00,31,35.5,23,62.5,0.3,100,rain,0,0,42.1,17.3,108,1007,88.8,10,209.5,0.8,2,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T16:00:00,30.5,34.9,23.1,64.6,0,0,,0,0,32.8,15.7,104,1008.1,74.2,10.9,120.6,0.4,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T17:00:00,30,35.1,24,70.29,0,0,,0,0,14,14.8,84,1009,50,8,37.5,0.1,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2020-12-01T18:00:00,28,32.4,24.6,81.77,0.1,100,rain,0,0,11.5,9.7,88,1009,50,8.4,2.6,0,0,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
