datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,weather
1/1/2010,33.1,22.1,26.6,34.1,22.1,27.4,20.9,74.2,0,0,0,20.2,109.6,1009.2,43.5,9.6,219.5,18.9,8,0.5,Partially cloudy,2
2/1/2010,32,22,27.1,34.9,22,28.7,21,70.7,0,0,0,14,112,1009.8,51.1,9.9,233.6,20.1,8,0.55,Partially cloudy,2
3/1/2010,32.2,24,27.2,36.8,24,28.7,21.9,73.7,0,0,0,16.6,132.2,1010,52.4,9.9,232,20,8,0.58,Partially cloudy,2
4/1/2010,32,23,27.2,33.5,23,27.9,20,66.5,0,0,0,16.6,106.9,1009.6,56.6,10.3,240.7,20.9,8,0.62,Partially cloudy,2
5/1/2010,33,23.1,27.1,36.1,23.1,28.3,21.8,74.5,0,0,0,16.6,117.9,1009.3,40.8,10.3,242,20.9,8,0.65,Partially cloudy,2
6/1/2010,33,23,26.6,34.5,23,27.6,21.3,74.6,0,0,0,20.2,125.4,1010,32.7,10.5,248.6,21.5,9,0.69,Partially cloudy,2
7/1/2010,33,21,26.8,34,21,27.5,20.1,70.5,0,0,0,25.6,112.1,1011.4,38.2,10.2,182.6,15.8,6,0.75,Partially cloudy,2
8/1/2010,32.2,22,26.5,35.4,22,27.5,21.4,75.4,0,0,0,18.4,117.9,1011.7,38.7,10.3,234.5,20.2,9,0.76,Partially cloudy,2
9/1/2010,32,23,26.4,34.9,23,27.6,22,78.4,0,0,0,16.6,116.4,1011.1,51.2,10,191.3,16.5,7,0.79,Partially cloudy,2
10/1/2010,33,22,27,36.1,22,28.2,21.3,72.2,0,0,0,18.4,121.7,1010.8,47.5,10.3,202.2,17.5,7,0.82,Partially cloudy,2
11/1/2010,31,23,26.6,33.7,23,27.6,21.6,75.4,0,0,0,16.6,126,1011.7,37.7,10.3,237.8,20.5,8,0.86,Partially cloudy,2
12/1/2010,32,23,26.2,34.5,23,27.1,21.8,78.5,0,0,0,21.6,114.4,1012.2,44.4,10.3,234.1,20.2,8,0.89,Partially cloudy,2
13/1/2010,32.4,21,25.9,34.1,21,26.5,21,76.8,0,0,0,18.4,131.5,1013.9,51.2,10,220.4,19.1,8,0.93,Partially cloudy,2
14/1/2010,31.2,19,25,31.3,19,25.2,19.1,72.3,0,0,0,17.3,263.2,1015.3,36.5,10,243.8,21,9,0.96,Partially cloudy,2
15/1/2010,31,19,24.8,32.4,19,25.3,20.1,77.5,0,0,0,16.6,165.6,1014.7,42.7,9,216.8,18.6,9,0,Partially cloudy,2
16/1/2010,29.7,21,24.4,30.2,21,24.6,18.2,70.1,0,0,0,16.6,25.4,1014.8,57.3,10,151.8,13.3,6,0.03,Partially cloudy,2
17/1/2010,31,21,25.5,31.4,21,25.9,18.8,68.2,0,0,0,14.8,329.8,1013.9,57.3,10.3,179.7,15.5,6,0.06,Partially cloudy,2
18/1/2010,32,21,25.7,34.1,21,26.4,20.6,75.7,0.9,100,12.5,14.8,280.3,1012.8,51.5,10.1,203.7,17.5,8,0.1,"Rain, Partially cloudy",1
19/1/2010,26.2,22,23,26.2,22,23,22,94.3,21.3,100,100,18.7,348.4,1011,82.5,8.7,76.1,6.6,3,0.13,"Rain, Partially cloudy",1
20/1/2010,23.1,21,22.1,23.1,21,22.1,22,99.4,16,100,79.17,23.1,8.6,1009.7,88.4,6.7,170.1,14.7,8,0.16,"Rain, Partially cloudy",1
21/1/2010,31.1,23,26,34.5,23,27.2,22.8,84.1,0,0,0,20.5,130.5,1012,60.6,10.3,217.8,18.9,9,0.2,Partially cloudy,2
22/1/2010,32,24,27.1,36.5,24,28.9,23.3,81.4,0,0,0,22,128,1012.6,35.8,10.3,210.2,18.1,7,0.23,Partially cloudy,2
23/1/2010,32.1,23,26.9,35.2,23,28.3,22.1,76.8,0,0,0,23.4,111.1,1012.6,42.5,10.3,247.5,21.4,9,0.25,Partially cloudy,2
24/1/2010,32.1,22,27.1,35,22,28.5,21.9,74.6,0,0,0,15.8,118.4,1012.4,48.4,10.3,267.1,23,9,0.3,Partially cloudy,2
25/1/2010,33.1,22,26.5,36.6,22,28.1,22.3,79.3,0,0,0,14.4,121.9,1012,52.4,9.9,264.3,22.8,9,0.33,Partially cloudy,2
26/1/2010,31,23,26.3,35.5,23,27.5,22.5,80.9,0.9,100,20.83,23,99.5,1012.2,64.3,10.1,266.2,23,9,0.36,"Rain, Partially cloudy",1
27/1/2010,33,22,26.9,34.7,22,27.7,20.3,70,0,0,0,18.4,113.7,1012.6,46.6,10.2,273.1,23.5,9,0.4,Partially cloudy,2
28/1/2010,32,21,26.7,33.5,21,27.6,20.2,69.6,0,0,0,20.5,115.2,1012.1,50,10,266.2,23.1,9,0.43,Partially cloudy,2
29/1/2010,33.1,22,27.1,36.4,22,28.4,21,71.4,0,0,0,18.4,108,1012.3,43,10.3,256.3,22.1,9,0.46,Partially cloudy,2
30/1/2010,31.7,23,26.7,34.6,23,27.6,21,72.5,0,0,0,18.4,123.5,1011.9,40.5,10.3,268.4,23.3,9,0.5,Partially cloudy,2
31/1/2010,34,23,27,35.3,23,27.8,20.7,70.7,0,0,0,20.5,117.4,1012.4,38.2,10.3,274.7,23.6,9,0.53,Partially cloudy,2
1/2/2010,33,22,27.3,35.3,22,28.4,21.5,72.8,0,0,0,21.2,123,1011.4,40.6,10.3,273,23.5,9,0.57,Partially cloudy,2
2/2/2010,34.1,24,27.7,37.5,24,29.3,22.3,74.5,0,0,0,24.1,127.5,1010.7,33.8,10.3,266.5,23,9,0.6,Partially cloudy,2
3/2/2010,31.4,24,26.9,36.1,24,28.5,22.5,78.3,0,0,0,25.9,134.9,1011.2,44.6,10.3,261.2,22.5,9,0.63,Partially cloudy,2
4/2/2010,33,23.1,27.3,34.6,23.1,28,20.8,70.1,0,0,0,29.5,121.2,1011.3,38.5,10.4,277.6,23.9,9,0.67,Partially cloudy,2
5/2/2010,34,21,27.4,36,21,28.4,21.2,72.3,0,0,0,22.3,128.1,1011.3,27.4,9.6,276.6,23.7,9,0.7,Partially cloudy,2
6/2/2010,33,24,27.3,37,24,28.7,22.2,75.6,0,0,0,20.5,135.5,1012.5,32.2,10.3,264,22.6,9,0.75,Partially cloudy,2
7/2/2010,34.4,23.1,27.8,37.3,23.1,29.2,21.8,72.1,0,0,0,22.3,124.4,1012,30.3,10.3,278.4,24.1,9,0.77,Partially cloudy,2
8/2/2010,33.2,24,27.1,37,24,28.1,21.5,73.2,0,0,0,29.2,118.6,1011.5,35.7,10.3,249.2,21.5,9,0.8,Partially cloudy,2
9/2/2010,33.2,23,27.2,36.1,23,28.2,20.9,70.8,0,0,0,25.9,128.5,1011.1,27.1,10.3,282.7,24.4,10,0.83,Partially cloudy,2
10/2/2010,33,23.1,27.2,36.1,23.1,28.3,21.4,72.8,0,0,0,24.1,124.9,1011.3,30.9,10.3,282.3,24.2,10,0.87,Partially cloudy,2
11/2/2010,34,21.1,27.1,37.3,21.1,28.4,21.4,73.7,0,0,0,21.3,137,1012.1,27.6,10.3,273.4,23.6,9,0.9,Partially cloudy,2
12/2/2010,33.4,23.1,27.6,38.1,23.1,29.3,22.4,75.5,0,0,0,24.1,129.8,1012.1,33.7,10.3,272.5,23.6,9,0.94,Partially cloudy,2
13/2/2010,34.2,24,28.1,37.3,24,29.3,21.4,69.8,0,0,0,22.3,119.1,1010.9,30.4,10.4,289.4,25,10,0.97,Partially cloudy,2
14/2/2010,34,22,28,35.1,22,28.6,19.4,62.3,0,0,0,25.9,121.5,1010.3,28.6,10.3,291.9,25.1,10,0,Partially cloudy,2
15/2/2010,35,24,28.1,36.5,24,29,20.4,65.6,0,0,0,22.3,128.5,1011.3,30.4,10.4,290.4,24.9,10,0.04,Partially cloudy,2
16/2/2010,35,22,28.3,36.9,22,29.3,20,64.1,0,0,0,26.7,118.4,1011.6,29.3,9.9,294.2,25.2,10,0.07,Partially cloudy,2
17/2/2010,34,21.1,27.7,35.7,21.1,28.8,20.8,68.9,0,0,0,24.5,111.2,1011.7,31.6,10.4,288.5,24.9,10,0.11,Partially cloudy,2
18/2/2010,34.2,22.1,28,35.9,22.1,29.1,21.1,69.1,0,0,0,21.3,126.1,1012,27.9,10.4,290.4,25,10,0.14,Partially cloudy,2
19/2/2010,33.5,23,27.8,36.8,23,29.7,21.8,71.5,0,0,0,26.6,129.3,1012.1,38.6,10.3,280.7,24,10,0.17,Partially cloudy,2
20/2/2010,34.4,24,28.2,37.3,24,29.4,20.8,66.1,0,0,0,25.2,118.6,1012.3,46.2,10.4,274.2,23.7,9,0.21,Partially cloudy,2
21/2/2010,32.1,24,27.5,35,24,28.8,21.8,72.4,0,0,0,22.3,129.9,1011.8,37.1,10.4,254.9,22.1,9,0.24,Partially cloudy,2
22/2/2010,33,25,27.8,37,25,29.6,22.7,75.3,0,0,0,18.4,137.5,1011.9,39.2,10.3,272.4,23.5,9,0.25,Partially cloudy,2
23/2/2010,33,25,27.9,37,25,29.4,22.5,73.7,0,0,0,24.1,131.3,1010.6,45,10.3,266,22.9,9,0.31,Partially cloudy,2
24/2/2010,33,23,27.3,36.1,23,28.5,22.2,75.8,0,0,0,18.4,149,1010.1,39.7,10.4,288.6,24.9,10,0.35,Partially cloudy,2
25/2/2010,33.6,23,27.7,38.1,23,29.2,22.4,75.5,0,0,0,20.5,149.8,1010.3,32.2,9.8,295.7,25.5,10,0.38,Partially cloudy,2
26/2/2010,33.9,24,28.3,37.2,24,30,22.3,72.9,0,0,0,22.3,147.6,1009.6,33.4,10.5,293.1,25.2,10,0.41,Partially cloudy,2
27/2/2010,34,25,28.3,38.3,25,30.5,23.2,75.8,0,0,0,18.4,143,1009.5,34.8,10.3,288.7,24.9,10,0.45,Partially cloudy,2
28/2/2010,33.7,25.5,28.6,38.5,25.5,30.9,23.3,74.4,0,0,0,19.6,137.9,1010.7,38.5,10.3,295.7,25.6,10,0.5,Partially cloudy,2
1/3/2010,33.9,24,28,38.8,24,30.1,22.8,74.7,0,0,0,20.5,139.1,1011.6,37.5,10.3,296.5,25.7,10,0.52,Partially cloudy,2
2/3/2010,34,24,28.2,38.3,24,30.4,22.9,75,0,0,0,16.6,140.4,1010.6,34.8,10.3,273.3,23.6,9,0.55,Partially cloudy,2
3/3/2010,32.1,26,27.9,38.1,26,30.5,23.6,78.2,0,0,0,25.6,151.1,1009.9,54.7,10.3,269.2,23.2,9,0.58,Partially cloudy,2
4/3/2010,32.3,24,28,37.5,24,30.3,22.9,74.5,0,0,0,20.5,151.8,1009.9,53,10.2,269.3,23,9,0.62,Partially cloudy,2
5/3/2010,33,26,28,38.1,26,30.3,22.9,74.5,0,0,0,20.5,142.9,1010.3,59.1,10.4,255.5,22.1,9,0.65,Partially cloudy,2
6/3/2010,33.2,25,28.4,37.4,25,30.5,22.6,71.9,0,0,0,20.5,145.8,1010.8,36.8,10.3,286.6,24.8,10,0.68,Partially cloudy,2
7/3/2010,33,25,28.3,38.1,25,30.8,23.3,75.5,0,0,0,16.6,148.9,1011.1,51.7,9.8,291.5,25.1,10,0.75,Partially cloudy,2
8/3/2010,33.1,26,28.7,38.2,26,31.1,23.2,73.6,0,0,0,19.6,144.8,1011.1,34.7,10.4,280.1,24.4,9,0.75,Partially cloudy,2
9/3/2010,34,26,28.8,40.3,26,31.7,22.9,71.4,0,0,0,20.5,127.6,1012.8,54.9,10.5,259.3,22.5,9,0.78,Partially cloudy,2
10/3/2010,34,23,28.5,36.2,23,30.3,21.2,66.5,0,0,0,20.5,99.4,1012.7,37.2,10.3,296.8,25.6,10,0.81,Partially cloudy,2
11/3/2010,34.1,22,28.1,36.2,22,29.2,19.2,60.1,0,0,0,22,101.1,1014.4,42.6,10.5,293.3,25.4,10,0.85,Partially cloudy,2
12/3/2010,36.1,24,28.9,38.2,24,30.3,20.3,61.8,0,0,0,22.3,116.6,1013.9,36,10.3,291.7,25.1,10,0.88,Partially cloudy,2
13/3/2010,34.1,24.4,28.9,38.3,24.4,31.1,22.1,68.1,0,0,0,24.1,135.6,1012.2,31.9,10.4,306.4,26.4,10,0.91,Partially cloudy,2
14/3/2010,34,25,28.6,38.3,25,30.5,22.5,71.4,0,0,0,20.5,132.5,1010.6,33.9,10.3,294.6,25.2,10,0.95,Partially cloudy,2
15/3/2010,34,24.1,28.4,38.3,24.1,30.4,22.3,70.9,0,0,0,24.1,132.8,1010.2,33.5,10.4,304.7,26.5,10,0.98,Partially cloudy,2
16/3/2010,36.4,25.3,29.8,37.4,25.3,30.5,19.4,56.7,0,0,0,32,118.4,1010.7,26.4,10.3,314.9,27.4,10,0,Partially cloudy,2
17/3/2010,35.7,23,29.3,40.4,23,30.6,19.2,56.2,0,0,0,16.6,89.5,1012.3,33.1,10.2,309.4,26.7,10,0.05,Partially cloudy,2
18/3/2010,36.1,22,29.3,39.8,22,30.4,18.8,55.1,0,0,0,20.5,101.2,1012.4,36.4,10.1,310.2,26.7,10,0.08,Partially cloudy,2
19/3/2010,36,21.1,28.9,37.4,21.1,30,19.2,58,0,0,0,19.6,119.2,1010.7,30,10.2,305.8,26.5,10,0.12,Partially cloudy,2
20/3/2010,35,25.1,29.1,39.5,25.1,30.9,21.2,64,0,0,0,23.4,132,1009.6,27.9,10.4,293,25.2,10,0.15,Partially cloudy,2
21/3/2010,34.9,26,28.8,39.3,26,30.9,22.8,71.9,0,0,0,22.3,136.1,1008.9,29.5,10.3,300.3,25.8,10,0.19,Partially cloudy,2
22/3/2010,34.6,26,29,37.4,26,30.9,21.8,66.9,0,0,0,22.3,135.3,1008.2,32.5,10.3,298.7,25.9,10,0.22,Partially cloudy,2
23/3/2010,34.9,26,29.1,39.7,26,31.8,23.2,72.4,0,0,0,22.3,141.1,1007.4,42.8,10.4,293.3,25.4,10,0.25,Partially cloudy,2
24/3/2010,34.7,26,29.4,40.3,26,33.2,24.1,74.7,0,0,0,20.5,132.3,1007.7,43,10.3,250.9,21.6,9,0.29,Partially cloudy,2
25/3/2010,35.1,26,29.7,42,26,33.8,24.1,73.7,1.3,100,20.83,27.7,135.1,1008,45.8,10.4,249.2,21.5,8,0.33,"Rain, Partially cloudy",1
26/3/2010,34.9,24.1,28.8,37.2,24.1,31.3,22,68.6,3.4,100,70.83,25.9,132.5,1009.6,57.3,10.2,237.9,20.4,8,0.36,"Rain, Partially cloudy",1
27/3/2010,35,24,28.1,37.8,24,30.2,23.2,77.6,5.2,100,33.33,27.7,91.5,1010.8,66.8,8.7,297.6,25.9,10,0.4,"Rain, Partially cloudy",1
28/3/2010,36,23.1,28.6,39.4,23.1,31,22.5,72.3,0,0,0,20.5,110.3,1010.2,54.8,9.1,303.1,26,10,0.43,Partially cloudy,2
29/3/2010,34.3,26.1,29.5,38.5,26.1,31.9,21.3,62.7,0,0,0,25.2,111.8,1010.6,67.4,10.4,282.2,24.4,10,0.47,Partially cloudy,2
30/3/2010,34.2,26,29.2,38.4,26,31.5,21.8,65.6,0,0,0,18.4,122.4,1010.8,40.3,10.2,280.2,24.3,9,0.5,Partially cloudy,2
31/3/2010,33.1,26,28.8,37.4,26,31.6,22.5,69.9,0,0,0,20.5,140.3,1010.9,55.5,10.5,252.3,21.8,9,0.54,Partially cloudy,2
1/4/2010,34.6,25.8,29,40.9,25.8,32.1,23.6,74.2,0,0,0,22.3,135.7,1010.1,34.7,10.4,222.4,19.2,8,0.57,Partially cloudy,2
2/4/2010,34.2,26,29.2,42,26,32.7,23.9,74.1,0,0,0,24.1,136.4,1009.7,44.4,10.4,300.5,25.9,10,0.6,Partially cloudy,2
3/4/2010,35,26,29.3,40.6,26,32.5,23,69.8,0,0,0,22.3,139.3,1010.2,46.1,10.3,313.8,27.1,10,0.63,Partially cloudy,2
4/4/2010,36,26,30,40.8,26,33.2,22.8,67.1,0,0,0,24.1,138.6,1010.4,43.4,10.3,252.9,21.7,8,0.67,Partially cloudy,2
5/4/2010,35.6,26.8,29.7,41.4,29.7,34,23.8,72.2,0,0,0,22.3,141.8,1009.2,44.8,10.3,280.6,24.2,9,0.7,Partially cloudy,2
6/4/2010,34.2,26,29.6,41.7,26,34.2,24.3,74.5,0,0,0,18.4,141.4,1009.7,55.7,10.3,295.8,25.6,10,0.75,Partially cloudy,2
7/4/2010,35,27,29.7,40.6,29.7,33.5,23.3,70.4,0,0,0,18.4,139.7,1010.7,43.4,10.4,285.1,24.6,9,0.76,Partially cloudy,2
8/4/2010,35,26,29.6,39.5,26,33.1,23.2,70.4,0,0,0,20.5,146,1011.1,38.3,10.3,306.8,26.6,10,0.8,Partially cloudy,2
9/4/2010,35.1,26,29.4,39.5,26,32.2,22.5,68.4,0,0,0,20.5,137.9,1009.7,27.3,10.3,292.9,25.4,10,0.83,Partially cloudy,2
10/4/2010,36,27,30.7,43.2,29.6,34.6,22.7,63.7,0,0,0,21.6,144.7,1008,33.8,10.3,266.7,23,9,0.86,Partially cloudy,2
11/4/2010,34.2,26,29.4,38,26,32.3,23.1,70.9,0,0,0,22.3,149.6,1007.9,33,10.3,298.8,25.6,10,0.89,Partially cloudy,2
12/4/2010,33,27,29.4,38.1,30.1,33.4,23.6,72.2,0,0,0,18.4,158.6,1007.8,46.6,10.3,288.9,24.7,10,0.93,Partially cloudy,2
13/4/2010,33.7,26.9,29.3,39.6,29.6,33.6,23.7,72.7,0,0,0,20.5,142.6,1008.7,38.6,10.3,312.1,27.1,10,0.96,Partially cloudy,2
14/4/2010,36.2,26,29.8,43.6,26,33.8,23.6,70.6,0,0,0,26.7,135.3,1009.2,34,10.3,320.2,27.8,10,0,Partially cloudy,2
15/4/2010,34.5,26,29.8,39.3,26,33.3,22.8,67.6,0,0,0,24.1,127.1,1009.4,32.9,10.3,312.9,27,10,0.02,Partially cloudy,2
16/4/2010,34.6,27,30.1,40.9,30.6,34.6,23.6,69.4,1.3,100,37.5,26.3,120.8,1010.1,41.9,10.2,255.7,22,8,0.06,"Rain, Partially cloudy",1
17/4/2010,34,27,29.4,39.3,29.4,33,23,69.4,2.5,100,54.17,40.7,121.1,1010.8,39.3,10.1,263,22.8,9,0.1,"Rain, Partially cloudy",1
18/4/2010,36,25.1,29.4,39.3,25.1,32.7,23.1,70.6,0,0,0,21.3,113.4,1010.1,44.2,10.2,284.8,24.7,9,0.13,Partially cloudy,2
19/4/2010,34.1,26,29.7,39.5,26,33.7,23.4,70.1,0,0,0,24.1,130,1009,36.1,10.3,219.4,18.9,7,0.17,Partially cloudy,2
20/4/2010,34.1,24,28.1,38.1,24,30.8,22.9,74.4,1.4,100,50,16.6,153.7,1008.5,51.5,9.9,199.3,17.3,6,0.2,"Rain, Partially cloudy",1
21/4/2010,34.2,27,29.8,40.1,30.1,34.5,24.3,73.9,0,0,0,16.9,146.4,1008.2,40.1,9.8,203.8,17.6,7,0.24,Partially cloudy,2
22/4/2010,35,28,30.2,41.9,31.9,35.4,24.3,71.7,0,0,0,18.4,142.1,1009,42.8,10.3,254.4,22,8,0.25,Partially cloudy,2
23/4/2010,34.5,26,29.9,42.1,26,34.9,24.2,72.3,0,0,0,25.9,133,1009.7,41.2,10.3,296.8,25.7,10,0.31,Partially cloudy,2
24/4/2010,36.6,27,30.6,38.9,29.6,33.4,21.7,62,0,0,0,22.3,121.7,1010.4,29.4,10.3,301.9,26.2,9,0.35,Partially cloudy,2
25/4/2010,36.6,27,30.1,39.5,29.6,33.2,22,63.4,0,0,0,27.7,127.4,1009.8,38.1,10.3,305.7,26.4,10,0.38,Partially cloudy,2
26/4/2010,37,27,30.4,41.9,29.6,33.8,22.5,65.2,0,0,0,24.1,133.7,1010.9,31.1,10.3,300.9,26.1,10,0.42,Partially cloudy,2
27/4/2010,33.2,27,29.8,40.6,30.1,34.8,24.2,72.4,0,0,0,22.3,140.7,1011.4,51,10.4,274.8,23.7,9,0.45,Partially cloudy,2
28/4/2010,36,27,30.1,39.8,30.1,34.1,23.1,67.6,0,0,0,18.4,141.3,1010.9,46.7,10.3,282.7,24.4,10,0.5,Partially cloudy,2
29/4/2010,34.1,27.9,30.2,40.6,31.3,34.8,23.7,69.1,0,0,0,20.9,139.5,1010.3,47.4,10.3,244.6,21.1,9,0.52,Partially cloudy,2
30/4/2010,34.4,24,29.1,40.6,24,33.3,24.1,75.6,0,0,0,22.3,125.3,1010.4,61.7,10.2,298.4,25.8,10,0.55,Partially cloudy,2
1/5/2010,35.4,25,29.4,41.3,25,33.7,24.6,77,0,0,0,18.9,118,1009.8,53,9.8,293.8,25.3,10,0.59,Partially cloudy,2
2/5/2010,33.1,27.1,28.8,39.4,30.9,33.7,24.7,78.8,6.8,100,70.83,16.6,117,1009.3,55.7,10.2,228.9,19.9,8,0.62,"Rain, Partially cloudy",1
3/5/2010,34.1,27,29.5,40.6,30.6,34.4,24.5,76,0,0,0,20.5,123,1007.3,57.8,10.1,187.6,16.4,6,0.65,Partially cloudy,2
4/5/2010,34,27,29.2,39.4,30.1,34.2,24.7,77.8,0.7,100,29.17,16.6,164.1,1006.9,61,10.3,276.1,23.9,9,0.68,"Rain, Partially cloudy",1
5/5/2010,36,27,30.4,40.8,30.6,35.1,24.1,71.4,0,0,0,17.6,148.8,1006.4,42.9,10.3,263.8,22.9,9,0.72,Partially cloudy,2
6/5/2010,36,26,30.3,41.9,26,35.7,24.8,74,0,0,0,18.4,162.5,1006.4,56.2,9.9,309.4,26.7,10,0.75,Partially cloudy,2
7/5/2010,36,28,30.9,41.9,32.7,36.6,24.6,71,0,0,0,16.6,141.7,1005.7,48.4,10.4,303.5,26.1,10,0.78,Partially cloudy,2
8/5/2010,36,28,30.8,43.2,33.5,37,25.1,73.4,8.1,100,33.33,20.5,150.6,1004.8,56.2,9.9,305.6,26.4,10,0.81,"Rain, Partially cloudy",1
9/5/2010,36.1,28,31.1,43.3,33.5,38.3,25.6,73.4,0,0,0,18.4,166.7,1004.8,61.3,10.4,251,21.7,9,0.84,Partially cloudy,2
10/5/2010,36,28,31,42.1,32.7,37.1,24.7,70.4,0.8,100,33.33,20.5,171.8,1005,57.5,10.3,288.2,24.7,9,0.88,"Rain, Partially cloudy",1
11/5/2010,36,27,30.6,43.2,30.6,36.5,24.9,72.9,0,0,0,22.3,136.3,1006.3,55.7,10.1,235.7,20.4,7,0.91,Partially cloudy,2
12/5/2010,37.1,28,31.1,43.2,31.9,36.2,23.9,67.4,0.8,100,33.33,24.2,118.4,1006.5,44.2,10.3,223.8,19.4,7,0.94,"Rain, Partially cloudy",1
13/5/2010,37.4,28,30.7,41.9,31.2,35.4,23.6,67.3,0,0,0,22.3,117.2,1006.5,42.1,10.3,184.8,15.7,6,0.97,Partially cloudy,2
14/5/2010,36,28,30.9,41.9,32.7,36.6,24.4,69.7,0,0,0,22.3,127.5,1005.7,60.5,10.3,134.3,11.7,5,0,Partially cloudy,2
15/5/2010,36,28,30.9,44.6,31.9,37.2,24.9,71.2,0,0,0,22.3,133.4,1005.9,61.1,10.3,199.1,17.1,7,0.04,Partially cloudy,2
16/5/2010,35.4,28,30.9,44,33.5,37.7,25.4,73.5,0,0,0,21.3,129.7,1006.6,43.7,10.3,278.9,24.1,9,0.08,Partially cloudy,2
17/5/2010,36.1,28,31.3,43.2,32.7,36.7,24.1,67.5,0.2,100,8.33,25.9,128.9,1007.5,35.7,10.3,297.4,25.8,9,0.11,"Rain, Partially cloudy",1
18/5/2010,36.6,28,31,46.3,32.7,37.7,25.2,72.6,1.3,100,54.17,25.9,136.3,1007.9,45.7,10.4,155.6,13.6,5,0.15,"Rain, Partially cloudy",1
19/5/2010,36.1,27,30.7,42.1,31.2,36.8,25,73.4,0,0,0,22.3,124.1,1008.5,52.6,10.1,264.4,23,9,0.19,Partially cloudy,2
20/5/2010,36.3,26,30,42.4,26,35,24.3,73.1,0,0,0,16.6,173.4,1008.8,51.9,10.2,125.5,11,4,0.22,Partially cloudy,2
21/5/2010,36.1,27,30.7,43.3,29.6,36.8,24.9,72.5,0.5,100,20.83,20.5,144.4,1008.4,55.6,10.3,231,19.8,8,0.25,"Rain, Partially cloudy",1
22/5/2010,36.1,25.4,29.6,42.4,25.4,34,24,73.6,5.4,100,79.17,29.5,246.1,1008.5,64.1,10.2,131.7,11.2,4,0.29,"Rain, Partially cloudy",1
23/5/2010,36,27.1,30.8,43.2,30.2,36.7,24.7,71.7,0,0,0,17.6,237.5,1006.9,56,10.4,249.5,21.5,8,0.33,Partially cloudy,2
24/5/2010,36.1,27.8,31.3,42.3,32.9,37.7,24.9,70.8,0.5,100,20.83,18.4,221.7,1006.2,52.3,10.3,193,16.6,7,0.37,"Rain, Partially cloudy",1
25/5/2010,34,28,30.3,41.4,33.5,36.6,25.3,75.7,3.9,100,79.17,22.3,206.6,1006.6,59.6,10.4,137.2,11.9,5,0.4,"Rain, Partially cloudy",1
26/5/2010,34,28,30.2,39.9,32,35.7,24.7,73.6,2,100,83.33,16.6,231,1007.2,71.5,10.3,103.9,9,4,0.44,"Rain, Partially cloudy",1
27/5/2010,36,26,29.4,40.8,26,33.7,24.1,74.8,4.7,100,100,18.6,200.5,1008,70.5,10.1,206.2,17.8,7,0.47,"Rain, Partially cloudy",1
28/5/2010,34.7,26,28.4,40.3,26,31.8,24.4,80,2.7,100,79.17,15.8,178.4,1009.1,57.6,9.6,114.9,10,4,0.5,"Rain, Partially cloudy",1
29/5/2010,35,26,29.8,41.9,26,33.9,24.5,75.4,0,0,0,16.6,198.8,1008.4,57.1,9.2,170.3,14.7,6,0.54,Partially cloudy,2
30/5/2010,35,25,29.3,40.6,25,33.6,23.9,74,0.2,100,8.33,14.8,215.4,1008.3,74.7,10.2,104,8.9,4,0.57,"Rain, Partially cloudy",1
31/5/2010,36.7,26,29.9,41.7,26,34.1,23.6,71,0,0,0,38.9,213.8,1008,48.5,10.1,146.3,12.6,5,0.6,Partially cloudy,2
1/6/2010,37,26,30.3,43.2,26,35.3,24.6,73.1,0,0,0,25.9,224.6,1007.6,47.6,9.9,211.1,18.3,7,0.64,Partially cloudy,2
2/6/2010,35.1,27,30.1,42.2,31.2,35.7,24.6,73.7,0,0,0,27.7,226.9,1008,53.1,10,152.3,13.1,5,0.67,Partially cloudy,2
3/6/2010,36.3,25.9,28.5,43.7,25.9,32,24.3,79,0.9,100,37.5,31.3,216.9,1009.1,67.4,9.9,160.5,13.9,6,0.7,"Rain, Partially cloudy",1
4/6/2010,34,25,28.8,40.6,25,32.6,24.3,78.2,0.6,100,20.83,18.4,225.6,1008.3,52.8,9.9,204.4,17.6,7,0.73,"Rain, Partially cloudy",1
5/6/2010,35,26,29.3,43.3,26,34.1,24.8,78.3,5.1,100,100,22.3,221.3,1007,49.9,10.1,147.3,12.9,5,0.75,"Rain, Partially cloudy",1
6/6/2010,33,24.9,28.4,39.2,24.9,32.2,24.7,81.4,6.6,100,95.83,17.8,202.9,1007.4,55.6,9.9,119.5,10.4,4,0.8,"Rain, Partially cloudy",1
7/6/2010,33,25,28.6,40.6,25,32.5,24.6,80,1.9,100,75,21,206.5,1008.1,59.1,10.3,127.8,11.1,4,0.83,"Rain, Partially cloudy",1
8/6/2010,34,24.1,28.7,40.6,24.1,32.2,24.1,77.7,2.8,100,20.83,22.3,187.3,1008,57.5,10,95.6,8.4,3,0.86,"Rain, Partially cloudy",1
9/6/2010,33,24,26.7,39.2,24,28.9,23.9,85.9,11,100,100,16.6,343.2,1008.2,73.3,9.9,176.4,15.3,7,0.89,"Rain, Partially cloudy",1
10/6/2010,33.1,24,27.5,38.3,24,29.4,23.9,82.6,6.3,100,95.83,14.7,127.9,1008.7,59.9,9.6,134.3,11.7,4,0.93,"Rain, Partially cloudy",1
