name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hồ Chí Minh, Việt Nam",2017-12-01T00:00:00,26,26,22,78.64,0,0,,0,0,7.2,11.2,50,1007,35.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T01:00:00,26,26,22.2,79.77,0,0,,0,0,7.6,11.2,50,1006.2,39.4,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T02:00:00,25,25,22,83.45,0,0,,0,0,13.3,9.4,60,1006,35.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T03:00:00,25,25,22,83.45,0,0,,0,0,13.3,5.4,21.6,1006,35.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T04:00:00,25,25,22,83.54,0,0,,0,0,12.2,3.6,19.8,1006.2,37.5,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T05:00:00,25,25,22,83.45,0,0,,0,0,9.7,1.8,12.9,1006,35.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T06:00:00,24,24,23,94.15,0,0,,0,0,9,1.8,8.3,1007,35.2,10,0,0,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T07:00:00,25.9,25.9,22.1,79.62,0,0,,,0,9.4,1.6,360,1008.2,40.3,10.9,67.4,0.2,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T08:00:00,27,29.2,22,74.14,0,0,,,0,10.4,5.4,353.8,1009,27,10,238.4,0.9,2,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T09:00:00,29,32.7,23,70.11,0,0,,,0,12.6,3.6,346,1009,27,10,419.8,1.5,4,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T10:00:00,29.9,33.9,22.8,65.65,0,0,,,0,13,4.9,297,1009.2,32,10.9,570.5,2.1,6,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T11:00:00,32,36.8,23,59.04,0,0,,,0,13.7,1.8,301.8,1009,27,10,723,2.6,7,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T12:00:00,32,35.8,22,55.56,0,0,,0,0,15.1,3.6,300.7,1008,27,10,743.8,2.7,7,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T13:00:00,33.8,38.1,22.1,50.41,0,0,,0,0,20.9,10.5,250,1007.1,32.9,10.9,672.5,2.4,7,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T14:00:00,33,37,22,52.51,0,0,,0,0,18,5.4,285.4,1006,27,10,585.7,2.1,6,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T15:00:00,33,38.1,23,55.8,0,0,,0,0,16.2,5.4,266.1,1005,27,10,481.9,1.7,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T16:00:00,31.1,36.5,23.9,65.47,0,0,,0,0,15.5,10.8,315,1005.2,52.8,10.9,238.5,0.9,2,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T17:00:00,30,35.1,24,70.29,0.2,100,rain,0,0,20.2,13,280,1006,66.3,8,48.7,0.2,0,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T18:00:00,29,35.6,26,83.9,0.1,100,rain,0,0,16.9,7.6,230,1007,66.3,8,3.9,0,0,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T19:00:00,28,33.5,25.9,88.08,0,0,,0,0,13,9.4,230,1007.3,68.5,9.1,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T20:00:00,28,32.7,25,83.79,0,0,,0,0,4.3,1.8,240,1008,66.3,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T21:00:00,28,33.5,26,88.91,0,0,,0,0,5.4,7.6,60,1009,66.3,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T22:00:00,27.9,31.9,24.1,79.71,0,0,,0,0,6.1,9.4,30,1008.2,65.7,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-01T23:00:00,27,30.1,24,83.68,0,0,,0,0,5.8,11.2,50,1008,66.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T00:00:00,27,30.1,24,83.68,0,0,,0,0,6.1,7.6,40,1008,66.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T01:00:00,27,30.1,24.1,84.38,0,0,,0,0,4.7,11.2,50,1007.1,65.7,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T02:00:00,26,26,23,83.56,0,0,,0,0,9.4,9.4,50,1007,66.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T03:00:00,26,26,23,83.56,0,0,,0,0,9.7,5.4,40,1006,66.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T04:00:00,26,26,23,83.89,0,0,,0,0,7.6,7.6,50,1007.1,62.9,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T05:00:00,25,25,23,88.68,0,0,,0,0,13.7,5.4,30,1007,35.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T06:00:00,25,25,23,88.68,0,0,,0,0,16.9,7.6,60,1008,35.2,10,0,0,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T07:00:00,26,26,24,88.66,0,0,,,0,25.9,7.6,60,1008.2,37.5,10.9,38.8,0.1,0,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T08:00:00,27,30.1,24,83.68,0,0,,,0,16.6,5.4,33.2,1009,35.2,10,120.4,0.4,1,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T09:00:00,28.1,32.1,24.1,78.93,0,0,,,0,10.8,7.6,30,1010,90,10,274.3,1,3,,Partially cloudy,partly-cloudy-day,48900099999
"Hồ Chí Minh, Việt Nam",2017-12-02T10:00:00,30,36.1,25,74.62,0,0,,,0,24.5,3.6,360,1009.3,90,12,406.6,1.5,4,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999"
"Hồ Chí Minh, Việt Nam",2017-12-02T11:00:00,32,39.2,25,66.58,0,0,,,0,38.2,9.4,60,1009,35.2,10,550.9,2,6,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2017-12-02T12:00:00,32,39.2,25,66.58,0.1,100,rain,0,0,38.2,16.6,50,1008,66.3,10,615.8,2.2,6,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
