name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hồ Chí Minh, Việt Nam",2018-12-01T00:00:00,27,30.1,24,83.68,0,0,,0,0,7.9,7.7,100,1012,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2018-12-01T01:00:00,27,30,23.9,83.53,0,0,,0,0,8.3,3.6,90,1011.3,53.7,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2018-12-01T02:00:00,27,30.3,24.4,85.75,0,0,,0,0,6.8,4.3,118.3,1011,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2018-12-01T03:00:00,26,26,24.6,91.97,0,0,,0,0,6.1,3.6,66,1010,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2018-12-01T04:00:00,26,26,24.9,93.24,0,0,,0,0,6.1,1.8,50,1010.3,50,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2018-12-01T05:00:00,25.6,25.6,25,96.54,0,0,,0,0,7.2,3.9,2.4,1011,50,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2018-12-01T06:00:00,25.4,25.4,25,97.6,0,0,,0,0,7.6,3.6,46,1011,27,5.4,0,0,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2018-12-01T07:00:00,27.3,31.6,25.4,89.31,0,0,,,0,11.5,4.7,64,1012.2,32,8.2,75.1,0.3,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2018-12-01T08:00:00,29.4,35.2,25,77.22,0,0,,,0,13,6.3,70,1012,27,8,279,1,3,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2018-12-01T09:00:00,30.4,38.1,26,77.36,0,0,,,0,19.1,5.4,20.3,1012,35.2,8.8,484.5,1.7,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2018-12-01T10:00:00,31.9,38.3,24.5,65.1,0,0,,,0,28.4,5.7,48,1011.4,53.7,10.6,661.9,2.4,7,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
