name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hồ Chí Minh, Việt Nam",2015-12-01T00:00:00,27.4,30.3,23,76.92,0,0,,0,0,6.1,7,100,1012,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T01:00:00,26.9,29.2,22.2,75.53,0,0,,0,0,6.8,7.7,100,1011.3,49.1,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T02:00:00,27,29.6,23,78.78,0,0,,0,0,8.6,8.6,106,1011,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T03:00:00,27,29.6,23,78.78,0,0,,0,0,7.6,10.4,102,1010,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T04:00:00,26.6,26.6,23.1,81.56,0,0,,0,0,6.8,7.7,110,1011,52.8,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T05:00:00,26,26,23,83.56,0,0,,0,0,6.8,7.6,110,1011,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T06:00:00,26,26,23,83.56,0,0,,0,0,6.8,7.7,100,1012,41.9,10,0,0,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T07:00:00,27.3,31,24.4,84.14,0,0,,,0,11.2,6,54,1012.1,90,11.5,66.6,0.2,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T08:00:00,29.4,34.2,24,72.73,0,0,,,0,15.1,7.7,50,1012,23.4,10,249.2,0.9,2,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T09:00:00,30,34.7,23.6,68.59,0,0,,,0,16.6,5.9,40,1012,52.9,10,456.3,1.6,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T10:00:00,31.4,36.7,23.7,63.69,0,0,,,0,32.8,5.1,26,1012.3,32,10.6,645.5,2.3,6,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T11:00:00,32,36.8,23,59.04,0,0,,,0,32,3.9,15.1,1011,35.2,10,712.9,2.6,7,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T12:00:00,32.6,38,23.4,58.52,0,0,,0,0,31.7,6.7,18.5,1010,66.3,10,780.9,2.8,8,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T13:00:00,32,37.9,24,62.89,0,0,,0,0,31,6.7,42,1009.3,88,10.9,696.5,2.5,7,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T14:00:00,33.4,40.6,24.6,60.03,0,0,,0,0,28.4,1.5,0,1008,66.3,10,665.2,2.4,7,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T15:00:00,33,37.4,22.4,53.83,0.1,100,rain,0,0,24.8,3.9,125.9,1008,88.8,10,469.1,1.7,5,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T16:00:00,32,37.5,23.7,61.44,0,0,,0,0,22.7,11.5,190,1009.1,52.8,10.9,319.3,1.1,3,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T17:00:00,31,36.5,24,66.38,0.2,100,rain,0,0,22.3,16.2,190,1010,50,9.2,110.7,0.4,1,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T18:00:00,26.6,26.6,21,71.43,0,0,,0,0,10.1,12.3,360,1011,50,6.8,6.7,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T19:00:00,26.3,26.3,21.6,75.24,0,0,,0,0,5.8,4.7,43,1011.1,52.8,9.1,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T20:00:00,26.4,26.4,22,76.77,0,0,,0,0,7.9,0.7,0,1012,50,8.8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T21:00:00,26,26,22.4,80.61,0,0,,0,0,7.9,3.6,321.5,1012,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T22:00:00,27,29.5,22.8,78.22,0,0,,0,0,6.8,0,360,1012.2,48.1,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-01T23:00:00,26,26,23,83.56,0,0,,0,0,7.2,6.7,328,1011,50,9.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T00:00:00,25.6,25.6,22.6,83.52,0,0,,0,0,7.6,2.9,330,1011,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T01:00:00,25.1,25.1,22.6,86.09,0,0,,0,0,7.2,2.3,360,1011.1,46.3,6.6,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T02:00:00,25,25,22.6,86.52,0,0,,0,0,6.5,1.8,40,1011,50,5,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T03:00:00,25,25,23,88.68,0,0,,0,0,6.8,1.8,40,1010,50,4,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T04:00:00,24.5,24.5,22.6,89.4,0,0,,0,0,7.2,1.6,344,1011.1,46.3,5.5,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T05:00:00,25,25,23,88.68,0,0,,0,0,6.5,3.3,354.1,1011,50,4,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T06:00:00,25,25,23,88.68,0,0,,0,0,6.1,5.9,10,1012,41.9,4,0,0,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T07:00:00,26,26,24.1,89.26,0,0,,,0,10.1,8.3,10,1013,27.3,6.8,74.4,0.3,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T08:00:00,27.4,31.5,25,86.74,0,0,,,0,13,4.3,14.1,1013,27,7,278.5,1,3,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T09:00:00,29.4,35.2,25,77.22,0,0,,,0,14.8,5.2,30,1013,27,8,488,1.8,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T10:00:00,30.4,36.3,24.6,71.2,0,0,,,0,16.2,8.5,10,1013.2,34.7,9.9,634.1,2.3,6,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T11:00:00,32,37.9,24,62.71,0.1,100,rain,,0,16.6,9.4,348,1012,50,10,709.4,2.6,7,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T12:00:00,32.4,37.7,23.4,59.14,0.1,100,rain,0,0,15.1,8.6,330,1011,50,10,766.6,2.8,8,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T13:00:00,33.4,38.4,22.9,54.2,0,0,,0,0,21.6,7.7,328,1010.3,49.1,10.9,747.6,2.7,7,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T14:00:00,34,38.7,22.4,50.9,0,0,,0,0,21.2,8.6,350,1009,50,10,696,2.5,7,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T15:00:00,33.4,37.9,22.4,52.62,0.1,100,rain,0,0,20.5,6.7,30,1009,50,10,515.8,1.9,5,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T16:00:00,31.9,37,23.4,60.96,0,0,,0,0,19.8,5.4,24,1009.2,53.7,10.9,270.4,1,3,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T17:00:00,30.6,34.5,22.6,62.41,0,0,,0,0,20.5,15.1,142,1010,50,10,114.3,0.4,1,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T18:00:00,29,32.3,22.4,67.63,0,0,,0,0,16.6,18.2,148,1011,50,10,7.1,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T19:00:00,28.5,32.1,23.1,72.75,0,0,,0,0,13,11.5,207,1011.2,42.6,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T20:00:00,28,31.2,23,74.3,0,0,,0,0,13.3,6.7,250,1012,27,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T21:00:00,28,31.2,23,74.3,0,0,,0,0,13.7,4.7,180,1012,27,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T22:00:00,27.9,31.3,23.2,75.78,0,0,,0,0,14.4,8.5,322,1012.2,30.1,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-02T23:00:00,28,31.2,23,74.3,0,0,,0,0,14.4,5.2,160,1011,35.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T00:00:00,28,31.2,23,74.3,0,0,,0,0,13.3,6.7,150,1011,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T01:00:00,27.5,30.5,23.2,77.33,0,0,,0,0,9.7,3.3,360,1011.3,48.1,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T02:00:00,27,29.4,22.6,76.86,0,0,,0,0,9,5.4,128.1,1011,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T03:00:00,26,26,22,78.64,0,0,,0,0,7.6,5.4,90,1011,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T04:00:00,26,26,22.6,81.67,0,0,,0,0,5.8,5.4,77,1011.2,46.3,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T05:00:00,26,26,23,83.56,0,0,,0,0,6.8,2.9,10,1011,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T06:00:00,26,26,23,83.56,0,0,,0,0,7.2,3.6,30,1012,27,3,0,0,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T07:00:00,26.9,30.1,24.4,86.17,0,0,,,0,13.3,5.9,60,1013.1,27.3,5.5,65.8,0.2,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T08:00:00,27.8,31.9,24.4,81.75,0,0,,,0,18.4,8.3,46,1013,27,4.4,259.9,0.9,3,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T09:00:00,31.1,36.7,24.1,66.39,0,0,,,0,21.6,9.4,50,1013,28.1,,469,1.7,5,,Partially cloudy,partly-cloudy-day,48900099999
"Hồ Chí Minh, Việt Nam",2015-12-03T10:00:00,32.2,37.9,23.7,60.72,0,0,,,0,25.6,7.4,70,1012.3,25.4,10.9,556.9,2,6,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T11:00:00,33,37,22,52.51,0,0,,,0,25.6,5.9,30,1011,35.2,10,723.7,2.6,7,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T12:00:00,34,37,20.6,45.55,0,0,,0,0,25.9,11.6,98,1010,50,10,816.3,2.9,8,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T13:00:00,33.5,36.9,21.1,48.18,0,0,,0,0,25.9,13.1,126,1009.4,62.9,10.9,695.2,2.5,7,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T14:00:00,34,37.3,21,46.7,0,0,,0,0,23.4,9,114,1009,72.5,10,613.6,2.2,6,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2015-12-03T15:00:00,33,37,22,52.51,0.1,100,rain,0,0,22.7,13.3,174,1008,66.3,10,395.2,1.4,4,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
