name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hồ Chí Minh, Việt Nam",2016-12-01T00:00:00,25,25,25,100,0,0,,0,0,7.9,3.6,260,1012,88.8,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T01:00:00,24.4,24.4,24.1,98.22,3,100,rain,0,0,8.3,7.2,307.3,1012.8,90,10,0,0,0,,"Rain, Partially cloudy",rain,48894099999
"Hồ Chí Minh, Việt Nam",2016-12-01T02:00:00,25.5,25.5,24.4,93.65,0,0,,0,0,12.6,6.5,317,1011,73.8,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Hồ Chí Minh, Việt Nam",2016-12-01T03:00:00,24,24,24,100,0,0,,0,0,10.4,5.4,329.9,1011,88.8,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T04:00:00,24.6,24.6,24.1,97.05,0,0,,0,0,9.7,5.8,340.6,1011.7,80,10,0,0,0,,Partially cloudy,partly-cloudy-night,48894099999
"Hồ Chí Minh, Việt Nam",2016-12-01T05:00:00,25,25,25,100,0,0,,0,0,12.2,3.6,333,1011,50,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T06:00:00,25,25,25,100,0,0,,0,0,14.4,7.6,360,1011,50,5,0,0,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T07:00:00,25,25,24.9,99.55,0,0,,,0,20.2,4.9,360,1011.2,53.7,9.1,48.1,0.2,0,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T08:00:00,26,26,25,94.23,0,0,,,0,22.7,9.4,30,1012,50,8,180.8,0.7,2,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T09:00:00,28,32.7,25,83.79,0,0,,,0,24.8,11.2,30,1012,50,8,390.7,1.4,4,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T10:00:00,29,33.5,24,74.63,0,0,,,0,25.6,10.1,45,1012.2,52.8,10.9,584.9,2.1,6,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T11:00:00,30,35.1,24,70.29,0,0,,,0,39.2,11.2,20,1011,27,10,705.6,2.5,7,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T12:00:00,30,34.1,23,66.18,0,0,,0,0,39.6,11.2,60,1011,50,10,751.5,2.7,8,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T13:00:00,31,35.6,23.1,63.2,0,0,,0,0,40,3.3,360,1010.2,52.8,10.9,755.6,2.7,8,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T14:00:00,28,32.7,25,83.79,0,0,,0,0,32.8,11.2,70,1009,50,8,353.5,1.3,4,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T15:00:00,28,33.5,26,88.91,0,0,,0,0,26.3,3.6,110.5,1009,50,10,280.4,1,3,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T16:00:00,28.1,32,24,78.48,0,0,,0,0,18.4,22.9,78,1009.1,52.8,10.9,139.1,0.5,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T17:00:00,28,31.2,23,74.3,0,0,,0,0,10.8,27.7,80,1009,88.8,10,80.8,0.3,1,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T18:00:00,27,29.6,23,78.78,0,0,,0,0,8.3,14.8,60,1010,88.8,10,7.1,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T19:00:00,26,26,23,83.56,0,0,,0,0,7.2,13,10,1010,88.8,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T20:00:00,25,25,23,88.68,0,0,,0,0,7.2,13,360,1010,88.8,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T21:00:00,25,25,23,88.68,0,0,,0,0,7.9,5.4,333.1,1011,88.8,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T22:00:00,25,25,22,83.45,0,0,,0,0,8.6,5.4,50,1012,88.8,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-01T23:00:00,25,25,22,83.45,0,0,,0,0,9.7,1.8,10,1012,88.8,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T00:00:00,25,25,22,83.45,0,0,,0,0,10.4,3.6,303.7,1012,88.8,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T01:00:00,24.1,24.1,22.9,93.25,0,0,,0,0,11.2,3.6,300,1011.2,83.3,9.1,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T02:00:00,24,24,23,94.15,0,0,,0,0,8.6,3.6,270,1010,88.8,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T03:00:00,24,24,24,100,0,0,,0,0,10.1,3.6,310,1010,88.8,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T04:00:00,24,24,23.9,99.38,0,0,,0,0,9.7,3.6,320,1010.2,81.4,9.1,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T05:00:00,24,24,24,100,0,0,,0,0,7.2,5.4,350,1010,88.8,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T06:00:00,24,24,24,100,0,0,,0,0,6.8,5.4,354.8,1011,50,9,0,0,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T07:00:00,25,25,23.9,93.93,0,0,,,0,11.2,3.9,320,1011.3,52.8,10.9,58.4,0.2,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T08:00:00,26,26,24,88.76,0,0,,,0,14.4,9.4,360,1012,50,10,242.8,0.9,2,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T09:00:00,27,29.6,23,78.78,0,0,,,0,15.5,7.6,360,1013,50,10,392.6,1.4,4,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T10:00:00,28,31.3,23.1,74.43,0,0,,,0,21.6,8.8,27,1012.2,53.7,10.9,436.3,1.6,4,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T11:00:00,29,32.7,23,70.11,0,0,,,0,16.9,5.4,13,1012,50,10,507.9,1.8,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T12:00:00,29,32.7,23,70.11,0,0,,0,0,35.3,3.6,351.7,1011,50,10,224.1,0.8,2,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T13:00:00,30,34.1,23,65.99,0,0,,0,0,38.2,3.6,90,1011.1,88.9,10.9,337.5,1.2,3,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T14:00:00,30,34.1,23,66.18,0,0,,0,0,33.5,5.4,318.7,1010,88.8,10,179.4,0.6,2,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T15:00:00,29,33.6,24,74.46,0,0,,0,0,38.2,5.4,321.8,1009,88.8,10,288.2,1,3,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T16:00:00,27.9,32.4,25,84.48,0,0,,0,0,37.1,7.5,331,1009.2,88.9,10,198.1,0.7,2,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T17:00:00,26,26,26,100,0,0,,0,0,29.5,14.8,80,1011,88.8,1,65.5,0.2,1,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T18:00:00,25,25,25,100,0,0,,0,0,14,5.4,97.3,1011,88.8,10,4.2,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2016-12-02T19:00:00,25,25,24.9,99.55,20,100,rain,0,0,4,3.6,102,1010.3,88.9,10.9,0,0,0,,"Rain, Partially cloudy",rain,"48894099999,48900099999,VVTS"
