name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hồ Chí Minh, Việt Nam",2019-12-01T00:00:00,26.6,26.6,24,85.71,0,0,,0,0,7.9,8.3,146,1010,27,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T01:00:00,25.9,25.9,23,83.8,0,0,,0,0,7.6,6.4,106,1009.3,25.4,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T02:00:00,25.6,25.6,23,85.61,0,0,,0,0,4,5.4,80,1009,27,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T03:00:00,25,25,23,88.68,0,0,,0,0,3.6,3.6,70,1009,27,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T04:00:00,25,25,23.8,93.14,0,0,,0,0,3.2,1.8,44.6,1009.2,32,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T05:00:00,24.6,24.6,23,90.86,0,0,,0,0,3.6,4.3,88,1009,27,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T06:00:00,25,25,23,88.68,0,0,,0,0,4,5.4,356,1010,35.2,10,0,0,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T07:00:00,25.9,25.9,22.1,79.71,0,0,,,0,7.9,5.4,102,1011.1,40.3,10.9,72,0.3,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T08:00:00,27.4,29.8,22,72.39,0,0,,,0,10.8,3.9,26.6,1011,35.2,10,274.4,1,3,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T09:00:00,29,31.7,21.6,64.35,0,0,,,0,11.5,4.3,309.5,1011,27,10,482,1.7,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T10:00:00,29.9,33.4,22.3,63.67,0,0,,,0,13.3,3.6,60,1011.3,39.4,10.9,618,2.2,6,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T11:00:00,31,35.5,23,62.5,0.1,100,rain,,0,14,7.6,334,1010,66.3,8,641.3,2.3,6,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T12:00:00,31.4,36,23,61.06,0,0,,0,0,17.3,5.4,320.5,1009,88.8,8,803.2,2.9,8,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T13:00:00,31.9,35.8,22.1,56.09,0,0,,0,0,16.9,5.2,360,1009.1,74.2,9.9,711.1,2.6,7,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T14:00:00,32,34.9,21,52.26,0,0,,0,0,17.3,7.7,321.9,1008,50,10,525.6,1.9,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2019-12-01T15:00:00,32.6,35.3,20.6,49.29,0,0,,0,0,16.2,6.3,300,1008,50,10,477.7,1.7,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
